feature,gain
crb_score,19722.80374121666
salary_regularity_score,4958.3883237838745
prior_avg_days_late_with_us,3407.984025478363
employment_type,2726.693077802658
prior_repayment_rate_with_us,1776.2020056247711
inflow_volatility_cv,1313.3565318584442
num_defaults_last_24m,1123.6527996063232
requested_amount_kes,1055.2449579238892
region,1011.6946203708649
requested_to_income_ratio,986.0094175338745
app_tenure_days,953.1136198043823
num_bounced_payments_6m,941.6794104576111
debt_to_income_ratio,858.6707262992859
avg_closing_balance_kes,857.3945412635803
mobile_money_txn_count_monthly,856.4021575450897
total_outstanding_debt_kes,792.3149726390839
max_days_past_due_24m,750.9224791526794
age,722.5173704624176
avg_monthly_outflow_kes,707.5737788677216
outflow_to_inflow_ratio,614.0938785076141
avg_monthly_inflow_kes,613.7746007442474
monthly_income_kes,604.9729597568512
net_cashflow_kes,548.7404482364655
profile_completeness_pct,458.11315274238586
num_support_tickets_90d,261.4809105396271
prior_defaults_with_us,255.6175036430359
prior_completed_loans_with_us,225.8261890411377
app_sessions_per_week,216.5932297706604
days_since_last_app_open,160.08067965507507
num_distinct_income_sources,145.8932592868805
num_active_loans_other_lenders,137.06366896629333
device_type,110.06034994125366
crb_listed_negative,72.35599899291992
sms_permission_granted,68.57993984222412
contacts_permission_granted,37.83921980857849
gender,34.913939476013184
acquisition_channel,0.0
is_digital_channel,0.0
